,date,operator,bottype,stars,bots,passiveDiameter[cm],path,locatingFileName,minCircleRadius,maxCircleRadius,fps,cpp,start_min,end_min,arenaSize[cm],comments,backedup,motorVal,production,linkingFileName,botLocatingFileName,botLinkingFileName
0,20221229,Eden,aligner,,21,7,D:\Eden\29_12_22\aligners_21_7cm\C0548.MP4,D:\Eden\29_12_22\aligners_21_7cm\C0548.MP4_locatedFull20230223a_test_eden.csv,22,28,25,0.1376146789,0:12,20:18,150,1low bot-replaced,,130,,D:\Eden\29_12_22\aligners_21_7cm\C0548.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\aligners_21_7cm\C0548.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\aligners_21_7cm\C0548.MP4botLocatedFull20230315.csv_linked.csv
1,20221229,Eden,aligner,,21,7,D:\Eden\29_12_22\aligners_21_7cm\C0547.MP4,D:\Eden\29_12_22\aligners_21_7cm\C0547.MP4_locatedFull20230223a_test_eden.csv,22,28,25,0.1376146789,0:12,20:21,150,1low bot-replaced,,130,,D:\Eden\29_12_22\aligners_21_7cm\C0547.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\aligners_21_7cm\C0547.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\aligners_21_7cm\C0547.MP4botLocatedFull20230315.csv_linked.csv
2,20221229,Eden,aligner,,21,7,D:\Eden\29_12_22\aligners_21_7cm\C0544.MP4,D:\Eden\29_12_22\aligners_21_7cm\C0544.MP4_locatedFull20230223a_test_eden.csv,22,28,25,0.1376146789,0:07,20:21,150,1 spinning bot-replaced,,130,,D:\Eden\29_12_22\aligners_21_7cm\C0544.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\aligners_21_7cm\C0544.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\aligners_21_7cm\C0544.MP4botLocatedFull20230315.csv_linked.csv
3,20221229,Eden,aligner,,21,7,D:\Eden\29_12_22\aligners_21_7cm\C0542.MP4,D:\Eden\29_12_22\aligners_21_7cm\C0542.MP4_locatedFull20230223a_test_eden.csv,22,28,25,0.1376146789,0:12,20:18,150,1 spinnig bot plastic replaced,,130,,D:\Eden\29_12_22\aligners_21_7cm\C0542.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\aligners_21_7cm\C0542.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\aligners_21_7cm\C0542.MP4botLocatedFull20230315.csv_linked.csv
4,20221229,Eden,fronter,,21,7,D:\Eden\29_12_22\frontes_21_7cm\C0541.MP4,D:\Eden\29_12_22\frontes_21_7cm\C0541.MP4_locatedFull20230223a_test_eden.csv,22,28,25,0.1376146789,0:13,20:21,150,,,130,,D:\Eden\29_12_22\frontes_21_7cm\C0541.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\frontes_21_7cm\C0541.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\frontes_21_7cm\C0541.MP4botLocatedFull20230315.csv_linked.csv
5,20221229,Eden,fronter,,21,7,D:\Eden\29_12_22\frontes_21_7cm\C0540.MP4,D:\Eden\29_12_22\frontes_21_7cm\C0540.MP4_locatedFull20230223a_test_eden.csv,22,28,25,0.1376146789,0:13,20:01,150,,,130,,D:\Eden\29_12_22\frontes_21_7cm\C0540.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\frontes_21_7cm\C0540.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\frontes_21_7cm\C0540.MP4botLocatedFull20230315.csv_linked.csv
6,20221229,Eden,fronter,2,21,7,D:\Eden\29_12_22\frontes_21_7cm\C0539.MP4,D:\Eden\29_12_22\frontes_21_7cm\C0539.MP4_locatedFull20230223a_test_eden.csv,22,28,25,0.1376146789,0:34,5:27,150,"low start error, 1 spinnig bot-replaced",,130,,D:\Eden\29_12_22\frontes_21_7cm\C0539.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\frontes_21_7cm\C0539.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\frontes_21_7cm\C0539.MP4botLocatedFull20230315.csv_linked.csv
7,20221229,Eden,fronter,3,21,7,D:\Eden\29_12_22\frontes_21_7cm\C0538.MP4,D:\Eden\29_12_22\frontes_21_7cm\C0538.MP4_locatedFull20230223a_test_eden.csv,22,28,25,0.1376146789,0:34,20:42,150,3 low battery bots-replaceds,,130,,D:\Eden\29_12_22\frontes_21_7cm\C0538.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\frontes_21_7cm\C0538.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\frontes_21_7cm\C0538.MP4botLocatedFull20230315.csv_linked.csv
8,20221227,Eden,fronter,2,21,12,D:\Eden\27_12_22\fronters-12cm\C0537.MP4,D:\Eden\27_12_22\fronters-12cm\C0537.MP4_locatedFull20230309_matan.csv,41,48,25,0.1376146789,0:51,20:57,150,2low battery-replaced,,130,,D:\Eden\27_12_22\fronters-12cm\C0537.MP4_locatedFull20230309_matan.csv_linked.csv,D:\Eden\27_12_22\fronters-12cm\C0537.MP4botLocatedFull20230315.csv,D:\Eden\27_12_22\fronters-12cm\C0537.MP4botLocatedFull20230315.csv_linked.csv
9,20221227,Eden,fronter,1,21,12,D:\Eden\27_12_22\fronters-12cm\C0536.MP4,D:\Eden\27_12_22\fronters-12cm\C0536.MP4_locatedFull20230223a_test_eden.csv,41,48,25,0.1376146789,0:13,20:29,150,,,130,,D:\Eden\27_12_22\fronters-12cm\C0536.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\27_12_22\fronters-12cm\C0536.MP4botLocatedFull20230315.csv,D:\Eden\27_12_22\fronters-12cm\C0536.MP4botLocatedFull20230315.csv_linked.csv
